,university,career,inscription_date,first_name,last_name,gender,birth_date,age,postal_code,email,location
0,universidad_nacional_de_tres_de_febrero,ingeniería_electrónica,2020-12-12,nan,jason_mahoney,male,1941-07-14,81,6315,denise97@hotmail.com,colonia baron
1,universidad_nacional_de_tres_de_febrero,licenciatura_en_ciencias_de_la_computación,2020-10-27,nan,ashley_allen,female,2019-01-11,3,5444,xclark@hotmail.com,ampacama
2,universidad_nacional_de_tres_de_febrero,arquitectura,2020-10-23,nan,crystal_robles,female,2017-12-19,4,8134,burkedaniel@hotmail.com,argerich
3,universidad_nacional_de_tres_de_febrero,licenciatura_en_producción_de_bioimagenes,2020-09-08,nan,diana_freeman,female,2010-02-25,12,6365,derek88@yahoo.com,azteazu
4,universidad_nacional_de_tres_de_febrero,licenciatura_en_ciencias_biológicas,2020-10-25,nan,nicholas_vega,male,1947-01-09,75,4616,rhonda86@hotmail.com,barcena
5,universidad_nacional_de_tres_de_febrero,diseño_industrial,2020-09-20,nan,joshua_hill,male,2019-01-15,3,7249,kbarajas@gmail.com,el araza
6,universidad_nacional_de_tres_de_febrero,ciencias_veterinarias,2020-11-22,nan,william_williams,male,1981-07-19,41,3201,aaron00@gmail.com,camba paso
7,universidad_nacional_de_tres_de_febrero,licenciatura_en_producción_de_bioimagenes,2021-01-25,nan,gary_edwards,male,1951-10-25,70,8319,baileychris@gmail.com,campamento sol
8,universidad_nacional_de_tres_de_febrero,bioquímica,2021-01-19,nan,jennifer_lee,female,1946-11-15,75,5360,jamiewilliams@gmail.com,chilecito
9,universidad_nacional_de_tres_de_febrero,licenciatura_en_ciencia_y_tecnología_de_alimentos,2020-10-11,nan,david_white,male,2017-10-22,4,1706,shortdebra@gmail.com,haedo
10,universidad_nacional_de_tres_de_febrero,licenciatura_en_artes,2020-10-29,nan,joseph_smith,male,1948-05-02,74,6309,kayleelewis@hotmail.com,nan
11,universidad_nacional_de_tres_de_febrero,licenciatura_en_gestión_de_agroalimentos,2020-10-20,nan,michael_barker,male,1931-11-30,90,3122,bryan82@yahoo.com,arroyo corralito
12,universidad_nacional_de_tres_de_febrero,bioquímica,2020-09-01,nan,laurie_patterson,female,1983-07-23,39,3023,montgomerydaniel@yahoo.com,cululu
13,universidad_nacional_de_tres_de_febrero,bioquímica,2020-10-08,nan,matthew_campbell,male,1941-06-28,81,6380,sullivanamber@gmail.com,boeuf
14,universidad_nacional_de_tres_de_febrero,ingeniería_electrónica,2020-11-14,nan,thomas_colon,male,1992-06-26,30,1875,misty40@hotmail.com,wilde
15,universidad_nacional_de_tres_de_febrero,licenciatura_en_ciencias_biológicas,2021-01-27,nan,erin_chaney,female,1923-09-17,98,5327,hcole@gmail.com,capihuas
16,universidad_nacional_de_tres_de_febrero,licenciatura_en_ciencias_antropológicas,2020-10-08,nan,luis_adams,male,1952-09-24,69,3318,jessicawells@yahoo.com,bonpland norte
17,universidad_nacional_de_tres_de_febrero,contador_público_,2020-12-29,nan,chelsea_thomas,female,1978-04-26,44,6409,gkane@gmail.com,jose maria blanco
18,universidad_nacional_de_tres_de_febrero,agronomía,2020-12-09,nan,jessica_bailey,female,2020-05-07,2,5473,donaldruiz@hotmail.com,aguayo
19,universidad_nacional_de_tres_de_febrero,diseño_de_imagen_y_sonido,2020-09-16,nan,jessica_porter,female,2012-09-05,9,1895,vaguilar@hotmail.com,arturo segui
20,universidad_nacional_de_tres_de_febrero,bioquímica,2020-10-04,nan,kiara_burke,female,1933-07-09,89,9053,roberthenry@hotmail.com,aguada grande
21,universidad_nacional_de_tres_de_febrero,licenciatura_en_ciencias_antropológicas,2020-12-06,nan,dawn_dixon,female,1955-12-12,66,1846,tina37@yahoo.com,adrogue
22,universidad_nacional_de_tres_de_febrero,licenciatura_en_ciencias_antropológicas,2021-01-27,nan,alexis_kerr,female,1990-03-03,32,6537,banderson@hotmail.com,el camoati
23,universidad_nacional_de_tres_de_febrero,licenciatura_en_producción_de_bioimagenes,2020-11-26,nan,raymond_sanchez,male,2010-11-23,11,6228,nthompson@gmail.com,aguas buenas
24,universidad_nacional_de_tres_de_febrero,licenciatura_en_ciencias_ambientales,2021-01-03,nan,andrea_harrison,female,2011-03-15,11,2170,judithmiller@hotmail.com,candelaria sud
25,universidad_nacional_de_tres_de_febrero,licenciatura_en_ciencias_biológicas,2020-12-11,nan,michael_ewing,male,1978-09-23,43,5634,qware@hotmail.com,bowen
26,universidad_nacional_de_tres_de_febrero,licenciatura_en_ciencias_de_la_educación_,2020-12-06,nan,kristina_franklin,female,1927-03-04,95,3541,andrewtaylor@yahoo.com,campo las puertas
27,universidad_nacional_de_tres_de_febrero,diseño_de_imagen_y_sonido,2020-09-21,nan,bridget_hampton,female,1946-02-20,76,1876,gregory00@gmail.com,bernal este
28,universidad_nacional_de_tres_de_febrero,licenciatura_en_relaciones_del_trabajo_,2020-09-30,nan,cody_vaughn,male,2013-01-20,9,1631,nichole69@gmail.com,villa rosa
